ID_1,DISTRITO,N_INDIVIDUOS,N_ALOJAMENTOS_TOTAL,% da população face ao total (CONTINENTAL)
2,AVEIRO,700787,358103,7.136110181629999
4,BEJA,144401,108137,1.470434591876781
5,BRAGA,832373,399145,8.476049698715741
6,BRAGANCA,118863,100472,1.2103812777906648
7,CASTELO BRANCO,177962,152449,1.81218607100765
8,COIMBRA,408551,268161,4.160272594690138
1,EVORA,152444,99107,1.5523364168119609
9,FARO,467343,392315,4.75895120858907
10,GUARDA,142974,131553,1.455903458694821
11,LEIRIA,458605,293335,4.6699722024615555
12,LISBOA,2275385,1190318,23.17023298895125
14,PORTALEGRE,104923,81393,1.0684303341631116
15,PORTO,1784277,859956,18.169282915562405
16,SANTAREM,424973,269916,4.327497730719672
17,SETUBAL,874806,478271,8.908144705239986
18,VIANA DO CASTELO,214640,145493,2.1856779440615526
19,VILA REAL,185695,142937,1.8909311676412133
20,VISEU,351292,246314,3.577204511392429
