DISTRITO,VALOR_MEDIANA_arrendamento_MENSAL,RENDA_MEDIA_BRUTA_ANUAL_corrigida_inflacao,RENDA_BRUTA_MENSAL,RENDA_SUFICIENTE
AVEIRO,920.0,10731.8233125,894.318609375,0
BRAGA,1100.0,10005.3745,833.7812083333333,0
BRAGANCA,365.0,7869.2325,655.769375,1
CASTELO BRANCO,450.0,8821.83,735.1525,1
COIMBRA,750.0,11855.802666666666,987.9835555555555,1
EVORA,990.0,9442.3725,786.864375,0
FARO,2500.0,9674.92875,806.2440624999999,0
LEIRIA,1100.0,9757.75258064516,813.1460483870966,0
LISBOA,2700.0,14197.08006153846,1183.090005128205,0
PORTO,1400.0,12046.373085585587,1003.8644237987988,0
SANTAREM,830.0,10016.905277777776,834.7421064814813,1
SETUBAL,1250.0,11303.342790697674,941.9452325581395,0
VIANA DO CASTELO,675.0,8532.557499999999,711.0464583333332,1
VILA REAL,475.0,9555.4125,796.2843750000001,1
VISEU,380.0,8446.861666666668,703.9051388888889,1
